METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53000;"{""coordinates"": [-123.1389845010699, 49.266249648901834], ""type"": ""Point""}";Fairview;B61507;49.266249648901834, -123.1389845010699
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52775;"{""coordinates"": [-123.14025209057701, 49.2662712708331], ""type"": ""Point""}";Fairview;B61527;49.2662712708331, -123.14025209057701
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53438;"{""coordinates"": [-123.13984476193991, 49.26447709524787], ""type"": ""Point""}";Fairview;B81520;49.26447709524787, -123.13984476193991
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51200;"{""coordinates"": [-123.1303012545635, 49.263555584067674], ""type"": ""Point""}";Fairview;301123;49.263555584067674, -123.1303012545635
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53285;"{""coordinates"": [-123.13066470518318, 49.263561515234684], ""type"": ""Point""}";Fairview;301131;49.263561515234684, -123.13066470518318
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51115;"{""coordinates"": [-123.13084517935268, 49.26356432439022], ""type"": ""Point""}";Fairview;301133;49.26356432439022, -123.13084517935268
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51005;"{""coordinates"": [-123.10814474344161, 49.26317368941442], ""type"": ""Point""}";Mount Pleasant;300127;49.26317368941442, -123.10814474344161
Pay Station;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67611;"{""coordinates"": [-123.13038193418444, 49.280841439835655], ""type"": ""Point""}";West End;651128;49.280841439835655, -123.13038193418444
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54055;"{""coordinates"": [-123.14365011352041, 49.264648552932286], ""type"": ""Point""}";Fairview;B81701;49.264648552932286, -123.14365011352041
Pay Station;$3.50;$4.00;$3.50;$4.00;$3.50;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;60116;"{""coordinates"": [-123.1238138661956, 49.27568363864312], ""type"": ""Point""}";Downtown;160411;49.27568363864312, -123.1238138661956
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;65643;"{""coordinates"": [-123.12519582601784, 49.27534114197458], ""type"": ""Point""}";Downtown;591225;49.27534114197458, -123.12519582601784
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;60826;"{""coordinates"": [-123.11840891559886, 49.27464337929076], ""type"": ""Point""}";Downtown;281013;49.27464337929076, -123.11840891559886
