METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66042,"""{""""coordinates"""": [-123.1275014693087, 49.27583165607668], """"type"""": """"Point""""}""",Downtown,170618,"49.27583165607668, -123.1275014693087",-123.1275014693087,49.27583165607668
Twin,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66006,"""{""""coordinates"""": [-123.12713016607798, 49.27559221750035], """"type"""": """"Point""""}""",Downtown,170606,"49.27559221750035, -123.12713016607798",-123.12713016607798,49.27559221750035
Twin,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66041,"""{""""coordinates"""": [-123.12713016607798, 49.27559221750035], """"type"""": """"Point""""}""",Downtown,170604,"49.27559221750035, -123.12713016607798",-123.12713016607798,49.27559221750035
Twin,$8.00,$6.00,$8.00,$6.00,$8.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65719,"""{""""coordinates"""": [-123.11357186363095, 49.28411125590963], """"type"""": """"Point""""}""",Downtown,600422,"49.28411125590963, -123.11357186363095",-123.11357186363095,49.28411125590963
Twin,$7.00,$4.00,$7.00,$4.00,$7.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65806,"""{""""coordinates"""": [-123.11260534867401, 49.284930321837415], """"type"""": """"Point""""}""",Downtown,600311,"49.284930321837415, -123.11260534867401",-123.11260534867401,49.284930321837415
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51055,"""{""""coordinates"""": [-123.11950190724636, 49.263384017005315], """"type"""": """"Point""""}""",Fairview,300637,"49.263384017005315, -123.11950190724636",-123.11950190724636,49.263384017005315
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52477,"""{""""coordinates"""": [-123.10691068444068, 49.26281963515876], """"type"""": """"Point""""}""",Mount Pleasant,762503,"49.26281963515876, -123.10691068444068",-123.10691068444068,49.26281963515876
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51002,"""{""""coordinates"""": [-123.10882195640765, 49.263189658716634], """"type"""": """"Point""""}""",Mount Pleasant,300143,"49.263189658716634, -123.10882195640765",-123.10882195640765,49.263189658716634
Twin,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,57321,"""{""""coordinates"""": [-123.14072805680782, 49.265340408072156], """"type"""": """"Point""""}""",Fairview,B71532,"49.265340408072156, -123.14072805680782",-123.14072805680782,49.265340408072156
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52470,"""{""""coordinates"""": [-123.13934016455015, 49.26446879962915], """"type"""": """"Point""""}""",Fairview,B81508,"49.26446879962915, -123.13934016455015",-123.13934016455015,49.26446879962915
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50170,"""{""""coordinates"""": [-123.13949438697459, 49.26447059248266], """"type"""": """"Point""""}""",Fairview,B81512,"49.26447059248266, -123.13949438697459",-123.13949438697459,49.26447059248266
Single,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53692,"""{""""coordinates"""": [-123.11771476507104, 49.26317361868475], """"type"""": """"Point""""}""",Fairview,300602,"49.26317361868475, -123.11771476507104",-123.11771476507104,49.26317361868475
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,60923,"""{""""coordinates"""": [-123.12521168734476, 49.274351168226254], """"type"""": """"Point""""}""",Downtown,170406,"49.274351168226254, -123.12521168734476",-123.12521168734476,49.274351168226254
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62418,"""{""""coordinates"""": [-123.12649446514979, 49.27517998204923], """"type"""": """"Point""""}""",Downtown,170512,"49.27517998204923, -123.12649446514979",-123.12649446514979,49.27517998204923
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54142,"""{""""coordinates"""": [-123.11831681983332, 49.263365141354114], """"type"""": """"Point""""}""",Fairview,300609,"49.263365141354114, -123.11831681983332",-123.11831681983332,49.263365141354114
