METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51435,"""{""""coordinates"""": [-123.14621070324479, 49.26722390631481], """"type"""": """"Point""""}""",Kitsilano,B51805,"49.26722390631481, -123.14621070324479",-123.14621070324479,49.26722390631481
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63997,"""{""""coordinates"""": [-123.13092196731282, 49.288875030729486], """"type"""": """"Point""""}""",West End,690725,"49.288875030729486, -123.13092196731282",-123.13092196731282,49.288875030729486
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,3 Hr,3 Hr,3 Hr,,No,62733,"""{""""coordinates"""": [-123.11860688304229, 49.273531316778055], """"type"""": """"Point""""}""",Downtown,341059,"49.273531316778055, -123.11860688304229",-123.11860688304229,49.273531316778055
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,13 Hrs,Yes,57911,"""{""""coordinates"""": [-123.10954614441272, 49.264414526186485], """"type"""": """"Point""""}""",Mount Pleasant,522307,"49.264414526186485, -123.10954614441272",-123.10954614441272,49.264414526186485
Pay Station,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,62634,"""{""""coordinates"""": [-123.11992146797131, 49.27605146432617], """"type"""": """"Point""""}""",Downtown,291045,"49.27605146432617, -123.11992146797131",-123.11992146797131,49.27605146432617
Pay Station,$2.00,$6.00,$2.00,$6.00,$2.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,60221,"""{""""coordinates"""": [-123.12107805025155, 49.275286584729855], """"type"""": """"Point""""}""",Downtown,291119,"49.275286584729855, -123.12107805025155",-123.12107805025155,49.275286584729855
Pay Station,$2.00,$6.00,$2.00,$6.00,$2.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,60221,"""{""""coordinates"""": [-123.12148604169587, 49.275016246861796], """"type"""": """"Point""""}""",Downtown,291145,"49.275016246861796, -123.12148604169587",-123.12148604169587,49.275016246861796
Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66212,"""{""""coordinates"""": [-123.09708497598218, 49.280395759375736], """"type"""": """"Point""""}""",Strathcona,090301,"49.280395759375736, -123.09708497598218",-123.09708497598218,49.280395759375736
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66624,"""{""""coordinates"""": [-123.1037377341054, 49.28341141334147], """"type"""": """"Point""""}""",Downtown,010002,"49.28341141334147, -123.1037377341054",-123.1037377341054,49.28341141334147
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66624,"""{""""coordinates"""": [-123.10265533704396, 49.28361629160919], """"type"""": """"Point""""}""",Downtown,010040,"49.28361629160919, -123.10265533704396",-123.10265533704396,49.28361629160919
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50243,"""{""""coordinates"""": [-123.14904204968971, 49.26798861394255], """"type"""": """"Point""""}""",Kitsilano,B41918,"49.26798861394255, -123.14904204968971",-123.14904204968971,49.26798861394255
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51467,"""{""""coordinates"""": [-123.12722617973391, 49.26427453477033], """"type"""": """"Point""""}""",Fairview,B81008,"49.26427453477033, -123.12722617973391",-123.12722617973391,49.26427453477033
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50734,"""{""""coordinates"""": [-123.15414910219945, 49.26806952663028], """"type"""": """"Point""""}""",Kitsilano,B42126,"49.26806952663028, -123.15414910219945",-123.15414910219945,49.26806952663028
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52657,"""{""""coordinates"""": [-123.15432645880695, 49.26807191647735], """"type"""": """"Point""""}""",Kitsilano,B42130,"49.26807191647735, -123.15432645880695",-123.15432645880695,49.26807191647735
Pay Station,$5.00,$4.00,$5.00,$4.00,$5.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,Yes,63256,"""{""""coordinates"""": [-123.13799999924314, 49.288847005382145], """"type"""": """"Point""""}""",West End,141722,"49.288847005382145, -123.13799999924314",-123.13799999924314,49.288847005382145
Pay Station,$3.00,$6.00,$3.00,$6.00,$3.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,67077,"""{""""coordinates"""": [-123.13947704947383, 49.28889101742012], """"type"""": """"Point""""}""",West End,721025,"49.28889101742012, -123.13947704947383",-123.13947704947383,49.28889101742012
Single / Disability,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,No,67408,"""{""""coordinates"""": [-123.1400673040104, 49.286038834472784], """"type"""": """"Point""""}""",West End,161640,"49.286038834472784, -123.1400673040104",-123.1400673040104,49.286038834472784
Pay Station,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,67813,"""{""""coordinates"""": [-123.10318919721945, 49.283317653045586], """"type"""": """"Point""""}""",Downtown,030009,"49.283317653045586, -123.10318919721945",-123.10318919721945,49.283317653045586
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53590,"""{""""coordinates"""": [-123.15345535515654, 49.268058414512375], """"type"""": """"Point""""}""",Kitsilano,B42110,"49.268058414512375, -123.15345535515654",-123.15345535515654,49.268058414512375
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51724,"""{""""coordinates"""": [-123.1363986733228, 49.26453572576433], """"type"""": """"Point""""}""",Fairview,B81403,"49.26453572576433, -123.1363986733228",-123.1363986733228,49.26453572576433
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,65179,"""{""""coordinates"""": [-123.12486705137334, 49.28873996830233], """"type"""": """"Point""""}""",Downtown,081230,"49.28873996830233, -123.12486705137334",-123.12486705137334,49.28873996830233
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,62499,"""{""""coordinates"""": [-123.1265999753051, 49.289256024484985], """"type"""": """"Point""""}""",Downtown,081320,"49.289256024484985, -123.1265999753051",-123.1265999753051,49.289256024484985
Pay Station,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,64965,"""{""""coordinates"""": [-123.1244861666368, 49.288152994779935], """"type"""": """"Point""""}""",Downtown,191207,"49.288152994779935, -123.1244861666368",-123.1244861666368,49.288152994779935
Pay Station,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,60641,"""{""""coordinates"""": [-123.12495100879987, 49.28827896514646], """"type"""": """"Point""""}""",Downtown,191218,"49.28827896514646, -123.12495100879987",-123.12495100879987,49.28827896514646
Twin,$7.00,$3.00,$7.00,$3.00,$7.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64015,"""{""""coordinates"""": [-123.1202513765118, 49.27280921911599], """"type"""": """"Point""""}""",Downtown,341203,"49.27280921911599, -123.1202513765118",-123.1202513765118,49.27280921911599
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,50086,"""{""""coordinates"""": [-123.10931197677147, 49.265312028575686], """"type"""": """"Point""""}""",Mount Pleasant,522208,"49.265312028575686, -123.10931197677147",-123.10931197677147,49.265312028575686
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61559,"""{""""coordinates"""": [-123.10962550874248, 49.282064706866116], """"type"""": """"Point""""}""",Downtown,560408,"49.282064706866116, -123.10962550874248",-123.10962550874248,49.282064706866116
Twin,$7.00,$4.00,$7.00,$4.00,$7.00,$4.00,$3.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,64788,"""{""""coordinates"""": [-123.11132212986364, 49.283554260137386], """"type"""": """"Point""""}""",Downtown,060406,"49.283554260137386, -123.11132212986364",-123.11132212986364,49.283554260137386
Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62937,"""{""""coordinates"""": [-123.11617211224176, 49.273127441609006], """"type"""": """"Point""""}""",Downtown,341030,"49.273127441609006, -123.11617211224176",-123.11617211224176,49.273127441609006
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,3 Hr,3 Hr,3 Hr,,No,61501,"""{""""coordinates"""": [-123.11841677657341, 49.27355681523501], """"type"""": """"Point""""}""",Downtown,341055,"49.27355681523501, -123.11841677657341",-123.11841677657341,49.27355681523501
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,3 Hr,3 Hr,3 Hr,,No,64645,"""{""""coordinates"""": [-123.11860688304229, 49.273531316778055], """"type"""": """"Point""""}""",Downtown,341061,"49.273531316778055, -123.11860688304229",-123.11860688304229,49.273531316778055
Twin,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61573,"""{""""coordinates"""": [-123.11905725621168, 49.27343795126602], """"type"""": """"Point""""}""",Downtown,341101,"49.27343795126602, -123.11905725621168",-123.11905725621168,49.27343795126602
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52049,"""{""""coordinates"""": [-123.14395507756423, 49.26718769944308], """"type"""": """"Point""""}""",Fairview,B51709,"49.26718769944308, -123.14395507756423",-123.14395507756423,49.26718769944308
Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51463,"""{""""coordinates"""": [-123.14638128932859, 49.26722485970144], """"type"""": """"Point""""}""",Kitsilano,B51809,"49.26722485970144, -123.14638128932859",-123.14638128932859,49.26722485970144
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52534,"""{""""coordinates"""": [-123.1581411531288, 49.268135346788874], """"type"""": """"Point""""}""",Kitsilano,B42312,"49.268135346788874, -123.1581411531288",-123.1581411531288,49.268135346788874
Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65530,"""{""""coordinates"""": [-123.13128371388612, 49.26321161958445], """"type"""": """"Point""""}""",Fairview,862504,"49.26321161958445, -123.13128371388612",-123.13128371388612,49.26321161958445
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,60412,"""{""""coordinates"""": [-123.12408400420667, 49.288672988226125], """"type"""": """"Point""""}""",Downtown,081219,"49.288672988226125, -123.12408400420667",-123.12408400420667,49.288672988226125
Pay Station,$4.00,$7.00,$4.00,$7.00,$4.00,$7.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,64212,"""{""""coordinates"""": [-123.13737089014444, 49.29028267298683], """"type"""": """"Point""""}""",West End,720907,"49.29028267298683, -123.13737089014444",-123.13737089014444,49.29028267298683
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53281,"""{""""coordinates"""": [-123.14944408611142, 49.26816545302915], """"type"""": """"Point""""}""",Kitsilano,B41931,"49.26816545302915, -123.14944408611142",-123.14944408611142,49.26816545302915
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50185,"""{""""coordinates"""": [-123.14985396560996, 49.268171479664744], """"type"""": """"Point""""}""",Kitsilano,B41939,"49.268171479664744, -123.14985396560996",-123.14985396560996,49.268171479664744
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52392,"""{""""coordinates"""": [-123.14955117810135, 49.26799643855888], """"type"""": """"Point""""}""",Kitsilano,B41932,"49.26799643855888, -123.14955117810135",-123.14955117810135,49.26799643855888
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,67847,"""{""""coordinates"""": [-123.09942277114584, 49.28356438251148], """"type"""": """"Point""""}""",Strathcona,510114,"49.28356438251148, -123.09942277114584",-123.09942277114584,49.28356438251148
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,67823,"""{""""coordinates"""": [-123.09968134478127, 49.283790352396615], """"type"""": """"Point""""}""",Downtown,510105,"49.283790352396615, -123.09968134478127",-123.09968134478127,49.283790352396615
Twin,$2.00,$4.00,$2.00,$4.00,$2.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64667,"""{""""coordinates"""": [-123.11933948368235, 49.27334440697147], """"type"""": """"Point""""}""",Downtown,341109,"49.27334440697147, -123.11933948368235",-123.11933948368235,49.27334440697147
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62651,"""{""""coordinates"""": [-123.11599729612027, 49.27313080153707], """"type"""": """"Point""""}""",Downtown,341026,"49.27313080153707, -123.11599729612027",-123.11599729612027,49.27313080153707
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,64566,"""{""""coordinates"""": [-123.11599729612027, 49.27313080153707], """"type"""": """"Point""""}""",Downtown,341028,"49.27313080153707, -123.11599729612027",-123.11599729612027,49.27313080153707
Single,$1.00,$5.00,$1.00,$5.00,$1.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,61159,"""{""""coordinates"""": [-123.13189837719254, 49.28092637837788], """"type"""": """"Point""""}""",West End,161113,"49.28092637837788, -123.13189837719254",-123.13189837719254,49.28092637837788
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53052,"""{""""coordinates"""": [-123.13569030124087, 49.26525176862166], """"type"""": """"Point""""}""",Fairview,B71344,"49.26525176862166, -123.13569030124087",-123.13569030124087,49.26525176862166
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54145,"""{""""coordinates"""": [-123.15431410782773, 49.26824150151478], """"type"""": """"Point""""}""",Kitsilano,B42129,"49.26824150151478, -123.15431410782773",-123.15431410782773,49.26824150151478
Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54085,"""{""""coordinates"""": [-123.15482001075172, 49.26824975698316], """"type"""": """"Point""""}""",Kitsilano,B42141,"49.26824975698316, -123.15482001075172",-123.15482001075172,49.26824975698316
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54654,"""{""""coordinates"""": [-123.15328195525471, 49.2680553164535], """"type"""": """"Point""""}""",Kitsilano,B42106,"49.2680553164535, -123.15328195525471",-123.15328195525471,49.2680553164535
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52713,"""{""""coordinates"""": [-123.15363089828014, 49.26806114065806], """"type"""": """"Point""""}""",Kitsilano,B42114,"49.26806114065806, -123.15363089828014",-123.15363089828014,49.26806114065806
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50578,"""{""""coordinates"""": [-123.15398069074203, 49.26806603617104], """"type"""": """"Point""""}""",Kitsilano,B42122,"49.26806603617104, -123.15398069074203",-123.15398069074203,49.26806603617104
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52769,"""{""""coordinates"""": [-123.15414910219945, 49.26806952663028], """"type"""": """"Point""""}""",Kitsilano,B42128,"49.26806952663028, -123.15414910219945",-123.15414910219945,49.26806952663028
Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52569,"""{""""coordinates"""": [-123.15757375905021, 49.268604178275446], """"type"""": """"Point""""}""",Kitsilano,961913,"49.268604178275446, -123.15757375905021",-123.15757375905021,49.268604178275446
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51675,"""{""""coordinates"""": [-123.14136173263007, 49.2687897983498], """"type"""": """"Point""""}""",Fairview,B31604,"49.2687897983498, -123.14136173263007",-123.14136173263007,49.2687897983498
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,53217,"""{""""coordinates"""": [-123.14204727923581, 49.26880038148975], """"type"""": """"Point""""}""",Fairview,B31620,"49.26880038148975, -123.14204727923581",-123.14204727923581,49.26880038148975
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52052,"""{""""coordinates"""": [-123.14204727923581, 49.26880038148975], """"type"""": """"Point""""}""",Fairview,B31622,"49.26880038148975, -123.14204727923581",-123.14204727923581,49.26880038148975
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50110,"""{""""coordinates"""": [-123.14221870139563, 49.26880340889147], """"type"""": """"Point""""}""",Fairview,B31626,"49.26880340889147, -123.14221870139563",-123.14221870139563,49.26880340889147
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52068,"""{""""coordinates"""": [-123.14844053180016, 49.268149035119336], """"type"""": """"Point""""}""",Kitsilano,B41905,"49.268149035119336, -123.14844053180016",-123.14844053180016,49.268149035119336
Twin,$4.00,$2.00,$4.00,$2.00,$4.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50522,"""{""""coordinates"""": [-123.15693220259426, 49.268113661569885], """"type"""": """"Point""""}""",Kitsilano,B42236,"49.268113661569885, -123.15693220259426",-123.15693220259426,49.268113661569885
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52677,"""{""""coordinates"""": [-123.15936673572992, 49.268318730143974], """"type"""": """"Point""""}""",Kitsilano,B42337,"49.268318730143974, -123.15936673572992",-123.15936673572992,49.268318730143974
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,55034,"""{""""coordinates"""": [-123.13646763201461, 49.26442131526717], """"type"""": """"Point""""}""",Fairview,B81404,"49.26442131526717, -123.13646763201461",-123.13646763201461,49.26442131526717
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52335,"""{""""coordinates"""": [-123.15188068997877, 49.268203599783014], """"type"""": """"Point""""}""",Kitsilano,B42029,"49.268203599783014, -123.15188068997877",-123.15188068997877,49.268203599783014
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52363,"""{""""coordinates"""": [-123.15204639040374, 49.268205981465755], """"type"""": """"Point""""}""",Kitsilano,B42033,"49.268205981465755, -123.15204639040374",-123.15204639040374,49.268205981465755
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53053,"""{""""coordinates"""": [-123.15238146302046, 49.268211252002494], """"type"""": """"Point""""}""",Kitsilano,B42041,"49.268211252002494, -123.15238146302046",-123.15238146302046,49.268211252002494
Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50075,"""{""""coordinates"""": [-123.1508185926929, 49.26801660451816], """"type"""": """"Point""""}""",Kitsilano,B42006,"49.26801660451816, -123.1508185926929",-123.1508185926929,49.26801660451816
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52236,"""{""""coordinates"""": [-123.14894365592627, 49.268157229934644], """"type"""": """"Point""""}""",Kitsilano,B41917,"49.268157229934644, -123.14894365592627",-123.14894365592627,49.268157229934644
Twin,$4.00,$6.00,$4.00,$6.00,$4.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50129,"""{""""coordinates"""": [-123.14927585578236, 49.26816276504619], """"type"""": """"Point""""}""",Kitsilano,B41925,"49.26816276504619, -123.14927585578236",-123.14927585578236,49.26816276504619
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50083,"""{""""coordinates"""": [-123.14169852625099, 49.26879505278561], """"type"""": """"Point""""}""",Fairview,B31612,"49.26879505278561, -123.14169852625099",-123.14169852625099,49.26879505278561
