Block,Street,lat,lon
2700,W 4TH AVE,49.268372708414766,-123.16802979988441
1800,GLEN DRIVE,49.278995991641985,-123.08134034625425
300,SMITHE ST,49.28209979869905,-123.12420930935966
800,E 6TH AVE,49.26545458360071,-123.09793894839464
700,SEYMOUR ST,49.28386252193256,-123.1141175463516
800,W CORDOVA ST,49.28775548425263,-123.1166327266634
900,W CORDOVA ST,49.28775548425263,-123.1166327266634
900,CANADA PLACE,49.2872705,-123.113634
1000,CANADA PLACE,49.288524214508904,-123.11694843473931
4700,FLEMING ST,49.25536929265355,-123.07094366099771
6000,FRASER ST,49.26197907672559,-123.08913300412429
1700,W 6TH AVE,49.2661499,-123.1436491
800,W 27TH AVE,49.24716431798934,-123.12360598755744
200,W 15TH AVE,49.257730642146186,-123.11010823265529
1800,W 6TH AVE,49.266263496690875,-123.14330665670455
1500,W 10TH AVE,49.26298122342149,-123.16007935506033
600,EXPO BLVD,49.27639029788111,-123.11399663984523
800,ALEXANDER ST,49.284078819708526,-123.09828543289301
500,W 7TH AVE,49.264726471922174,-123.10786395058216
700,W 8TH AVE,49.26445433343878,-123.1349402207505
200,W 2ND AVE,49.268471354173876,-123.01900681315158
2200,CAROLINA ST,49.26528011809774,-123.09102024702057
0,E 8TH AVE,49.26340290713782,-123.08615921498024
1600,FRANCES ST,49.279434856630814,-123.0737904824798
300,GARDEN DRIVE,49.25748097494034,-123.05824987898282
2300,ASH ST,49.234556833243914,-123.11784027039413
600,W 8TH AVE,49.2640479,-123.1176773
3300,E PENDER ST,49.280263136498185,-123.06797654648987
600,E 47TH AVE,49.22756806264971,-123.05247207317724
600,E 46TH AVE,49.22852568251295,-123.06235902478515
600,E 44TH AVE,49.230143914748496,-123.09395844110165
5900,FRASER ST,49.26197907672559,-123.08913300412429
1000,BOUNDARY RD,49.20664864201525,-123.02334473319803
3400,KINGSWAY,49.241372639934724,-123.05686279086896
900,PACIFIC BLVD,49.273492251728335,-123.12367410015517
100,DAVIE ST,49.27359439420446,-123.12061726969179
1200,MARINASIDE CRESCENT,49.272430446604425,-123.12072587385262
1400,ROLSTON ST,49.27501072410436,-123.12836773264863
1400,GRANVILLE ST,49.25901295951559,-123.13874691672915
1400,CONTINENTAL ST,49.274868568577624,-123.13041039833122
1400,HOWE ST,49.28478563333309,-123.11664266117666
1600,W 6TH AVE,49.266263496690875,-123.14330665670455
1800,FIR ST,49.26508537593947,-123.14080772960756
1800,PINE ST,49.26931152312224,-123.1431914430584
1600,W 4TH AVE,49.268372708414766,-123.16802979988441
1900,W 4TH AVE,49.268372708414766,-123.16802979988441
2100,W 4TH AVE,49.2679903,-123.152966
300,DRAKE ST,49.272676195349675,-123.12251200235632
2000,FIR ST,49.26508537593947,-123.14080772960756
1700,W 2ND AVE,49.26968297868206,-123.13941241733518
1700,W 1ST AVE,49.27115066311537,-123.14084618378423
900,W 8TH AVE,49.2641404,-123.1244209
800,HOMER ST,49.27373329017452,-123.12554583128659
900,MAINLAND ST,49.275582790205796,-123.12054994860388
1800,DUNBAR ST,49.26602421497274,-123.18373133802886
2900,W 23RD AVE,49.25076487953839,-123.12391852537706
5500,CONNAUGHT DRIVE,49.24078627730938,-123.1423794012757
4300,HUDSON ST,49.22282532277979,-123.13522534652327
1300,E 36TH AVE,49.238110035122276,-123.09934986832835
400,E 58TH AVE,49.21762173196085,-123.10201157113686
7900,ASH ST,49.234556833243914,-123.11784027039413
1500,W 57TH AVE,49.219138322749316,-123.12302621764834
1100,HOMER ST,49.27373329017452,-123.12554583128659
500,PACIFIC ST,49.27411448989875,-123.12811737133056
600,BEACH CRESCENT,49.272216569484584,-123.1279155660227
400,DRAKE ST,49.272676195349675,-123.12251200235632
1100,SEYMOUR ST,49.28386252193256,-123.1141175463516
1300,HOMER ST,49.27373329017452,-123.12554583128659
1400,HOMER ST,49.272395,-123.12539984005934
200,DRAKE ST,49.272676195349675,-123.12251200235632
1200,ALBERNI ST,49.2866724,-123.12655457282756
600,THURLOW ST,49.284435007954905,-123.12510257255244
500,THURLOW ST,49.284435007954905,-123.12510257255244
600,ROBSON ST,49.29243851667212,-123.13692796815148
800,SEYMOUR ST,49.28386252193256,-123.1141175463516
500,HOMER ST,49.27373329017452,-123.12554583128659
800,HAMILTON ST,49.2805274054667,-123.11336910827367
400,CAMBIE ST,49.2492150960783,-123.11539090524424
0,KEEFER PLACE,49.27946163220379,-123.10608362466824
